"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U3","SPV1050","TopLayer","SPV1050","54.7500","51.5000","0","STMicroelectronics SPV1050 solar power harvester"
"R13","9.1Meg","TopLayer","RES_0603_1608","49.9806","52.9645","0","RES 0 OHM JUMPER 0603"
"R12","3Meg","TopLayer","RES_0603_1608","51.3500","47.5000","270","RES 0 OHM JUMPER 0603"
"R11","3Meg","TopLayer","RES_0603_1608","50.0000","55.5000","0","RES 0 OHM JUMPER 0603"
"R10","1Meg","TopLayer","RES_0603_1608","53.8500","47.5000","270","RES 0 OHM JUMPER 0603"
"R9","0R","TopLayer","RES_0603_1608","53.9000","55.5000","0","RES 0 OHM JUMPER 0603"
"R8","6.1Meg","TopLayer","RES_0603_1608","56.3500","47.5000","270","RES 0 OHM JUMPER 0603"
"L2","22u","TopLayer","IND_0806_2016","59.2500","51.7500","90","1 UH SHIELDED DRUM CORE, WIREWOU"
"C8","10n","TopLayer","CAP_0603_1608","50.0000","50.5000","0","CAP CER 0.1UF 16V X7R 0603"
"C7","47u","TopLayer","CAP_0805_2012","59.0500","47.5000","90","CAP CER 1UF 16V X5R 0805"
"C6","4.7u","TopLayer","CAP_0805_2012","58.6500","55.4211","0","CAP CER 1UF 16V X5R 0805"
"R28","5k1","TopLayer","RES_0603_1608","39.5331","59.5000","225","RES 0 OHM JUMPER 0603"
"D1","Red","TopLayer","LED_0603_1608_RED","40.2500","56.5000","315","0603 LED RED 620NM DOMINANT,630N"
"U6","LR1262","TopLayer","LR1262","43.7990","69.1349","315","LR1262 LoRaWAN Node Module based on the STM32WLE5CCU6"
"L3","4.3 nH","TopLayer","IND_0402_1005","57.6643","84.1889","90","EMC"
"C16","0","TopLayer","CAP_0402_1005","57.2257","86.0351","0","CAP CER 36PF 50V NP0 0402"
"C15","0","TopLayer","CAP_0402_1005","57.2257","82.3846","0","CAP CER 36PF 50V NP0 0402"
"R27","5k1","TopLayer","RES_0603_1608","50.8822","60.7427","225","RES 0 OHM JUMPER 0603"
"R26","5k1","TopLayer","RES_0603_1608","42.0000","57.7500","135","RES 0 OHM JUMPER 0603"
"C14","100n","TopLayer","CAP_0603_1608","55.5998","65.7246","225","CAP CER 0.1UF 16V X7R 0603"
"U5","IPEX","TopLayer","IPEX_ANT","57.7493","90.4879","90",""
"U4","TLV9041SIDBVR","TopLayer","FP-DBV0006A-MFG","54.6993","42.7000","0","1.2-V ULTRA-LOW VOLTAGE, 350-KHZ"
"U2","TLV62569DBVR","TopLayer","FP-DBV0005A-MFG","29.3000","36.4500","0","IC REG BUCK ADJ 2A SOT23-5"
"U1","TPS70933DBVR","TopLayer","TPS70933DBVR","39.1581","47.1557","90","TPS709 150-mA, 30-V, 1-µA IQ Voltage Regulators with Enable"
"S2","TS-1088-AR02016","TopLayer","TS1088AR02016","31.3180","91.5000","180","Switch"
"S1","TS-1088-AR02016","TopLayer","TS1088AR02016","18.2500","91.5000","0","Switch"
"R25","5k1","TopLayer","RES_0603_1608","40.0000","80.7500","45","RES 0 OHM JUMPER 0603"
"R24","5k1","TopLayer","RES_0603_1608","35.8489","79.8768","45","RES 0 OHM JUMPER 0603"
"R23","100k","TopLayer","RES_0603_1608","50.2550","38.5760","0","RES 0 OHM JUMPER 0603"
"R22","0R5","TopLayer","RES_0603_1608","58.5756","38.5760","180","RES 0 OHM JUMPER 0603"
"R21","5k1","TopLayer","RES_0603_1608","54.3447","38.5760","0","RES 0 OHM JUMPER 0603"
"R20","100k","TopLayer","RES_0603_1608","50.0000","43.5000","0","RES 0 OHM JUMPER 0603"
